Transcripts	CT_1	CT_2	CT_3	LT20_1	LT20_2	LT20_3	LT15_1	LT15_2	LT15_3	LT12_1	LT12_2	LT12_3	LT12_6_1	LT12_6_2	LT12_6_3
transcript_4559	111.74	156.85	154.85	85.87	50.99	28.5	45.71	64.68	66.39	81.34	24.96	43.26	13.54	45.76	90.11
transcript_456	9.12	8.29	10.7	17.32	15.37	22.24	24.53	40.04	22.77	27.85	34.74	30.47	54.87	52.23	60.78
transcript_4560	0	51.67	0	57.57	86.87	0	0	64.93	74.21	0	64.68	67.8	59.41	51.14	0
transcript_4561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_4562	54.1	21	11.38	25.73	22	57.46	39.5	28.31	14.43	25.12	29.13	18.36	18.7	14.04	21.79
transcript_4563	4.45	3.26	0	17.79	3.36	17.28	28.56	25.62	1.98	22.29	3.23	15.58	12.11	7.13	12.6
transcript_4564	0	0	0	0	0	0	0	4.27	77.07	0	0	0	0	0	0
transcript_4565	27.79	39.16	38.58	39.39	43.57	35.05	54.53	59.71	53.35	73.06	61.9	62.34	87.75	87.26	100.42
transcript_4566	20.89	10.66	11.49	8.41	12.17	33.48	52.07	35.83	30.16	14.6	13.19	15.76	8.76	6.24	12.31
transcript_4567	0	4210.82	8063.26	1975.35	4193.33	0	1343.38	0	1974.73	0	0	0	3454.22	1.39	3.61
transcript_4568	325.4	31.6	0	497.35	12.6	0	0	455.53	550.04	20.38	18.7	547.93	562.07	0	9.19
transcript_4569	0	0	13.31	15.41	0	13.63	0	24.1	16.3	19.59	32.88	0	38.58	0	0
transcript_457	9.49	9.78	12.87	9.41	13.11	15.74	14.27	13.7	16.93	13.38	18.05	19.14	19.26	9.01	18.17
transcript_4570	33.96	38.74	45.94	26.56	47.03	27.47	36.65	34.14	29.49	24.39	33.87	31.79	40.7	43.14	49.85
transcript_4571	12.02	0.47	14.6	8.63	6.08	0.5	12.57	11.25	9.98	29.65	36.5	9.33	40.87	125.07	114.74
transcript_4573	20.65	8.52	35.77	21.42	16.78	25.23	13.64	19.91	15.95	18.74	32.86	20.95	28.01	16.27	18.7
transcript_4574	39.59	44.87	44.18	32.5	35.99	17.36	26.64	23.54	28.65	34.12	22.42	35.18	18.65	28.58	21.06
transcript_4575	0.36	0.24	0.09	0.07	0	0.07	0.27	0.22	0.27	0.07	0	0	0	0.06	0.08
transcript_4576	72.19	0	0	71.17	53.49	0	72.21	77.16	64.81	46.76	0	0	70.66	0	82.38
transcript_4577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67
transcript_4578	13.05	7.59	11.61	27.61	25.16	24.28	20.8	33.63	17.05	17.07	13.08	14.97	30.5	13.31	32.6
transcript_4579	0	0	265.52	172.69	291.42	0	228.39	0	229.26	142.51	352.66	0	380.35	237.1	0
transcript_458	73.17	34.03	100.12	24.87	195.97	33.53	41.3	128.03	37.2	83.57	117.3	157.65	59.47	33.49	56.07
transcript_4580	12.47	7.97	15.13	7.62	8.71	10.03	12.17	16.93	10.69	8.66	16.61	9.25	32.98	21.63	18.24
transcript_4581	6.49	10.84	13.42	9.14	24.2	11.21	12.62	22.24	16.67	7.88	14.62	10.91	16.63	21.37	23.54
transcript_4582	12.74	6.51	17.91	7.29	2.86	5.02	3.69	7.14	12.18	11.3	7.35	5.7	1.77	3.67	8.61
transcript_4583	0	0	0	0	0	0	0	0	0	4.49	0	0	11.8	0	0
transcript_4584	44.41	25.58	48.88	11.12	28.57	7.59	7.36	4.16	7.17	6.32	7.2	4.57	11.52	6.39	8.17
transcript_4585	7.1	7.36	8.06	8.65	6.36	6.28	7.1	6.48	7.45	4.56	7.32	4.8	2.55	1.5	3.03
transcript_4586	1.62	0	0.12	0.2	3.77	0	16.83	0.94	0.2	1.29	0	1.25	0.42	0.08	0.97
transcript_4587	5.67	6.47	6.95	5.64	3.87	3.81	3.36	3.43	4.84	6.28	4.26	4.54	0.92	1.38	1.93
transcript_4589	4.14	2.66	5.42	4.17	4.33	1.26	5.73	5.92	4.1	3.69	4.16	4.29	5.01	4.58	5.05
transcript_459	25.32	23.64	31.89	22.44	25.89	23.67	24.9	24.66	26.41	22.5	27.22	20.11	26.81	22.04	28.02
transcript_4590	0.42	0.14	0.5	0.31	0.32	0	0.31	0.22	0.2	0.41	0.26	0.07	0.27	0.45	0.22
